year,region_code,cluster
2013,52800,NS
2014,11110,LL
2014,11140,LL
2014,11170,NS
2014,11200,LL
2014,11215,NS
2014,11230,LL
2014,11260,LL
2014,11290,NS
2014,11305,NS
2014,11320,NS
2014,11350,NS
2014,11380,NS
2014,11410,LL
2014,11440,NS
2014,11470,NS
2014,11500,NS
2014,11530,LL
2014,11545,LL
2014,11560,NS
2014,11590,NS
2014,11620,LL
2014,11650,NS
2014,11680,HL
2014,11710,NS
2014,11740,NS
2014,26110,LL
2014,26140,LL
2014,26170,NS
2014,26200,NS
2014,26230,LL
2014,26260,NS
2014,26290,NS
2014,26320,NS
2014,26350,NS
2014,26380,LH
2014,26410,NS
2014,26440,HL
2014,26470,NS
2014,26500,NS
2014,26530,NS
2014,26710,NS
2014,27110,HL
2014,27140,NS
2014,27170,NS
2014,27200,NS
2014,27230,NS
2014,27260,NS
2014,27290,NS
2014,27710,NS
2014,27720,NS
2014,28110,NS
2014,28140,NS
2014,28177,NS
2014,28185,NS
2014,28200,NS
2014,28237,NS
2014,28245,NS
2014,28260,NS
2014,28710,HH
2014,28720,NS
2014,29110,NS
2014,29140,NS
2014,29155,NS
2014,29170,NS
2014,29200,NS
2014,30110,NS
2014,30140,LL
2014,30170,NS
2014,30200,HH
2014,30230,NS
2014,31110,NS
2014,31140,NS
2014,31170,NS
2014,31200,NS
2014,31710,HH
2014,36110,NS
2014,41110,NS
2014,41130,NS
2014,41150,NS
2014,41170,LL
2014,41190,NS
2014,41210,LL
2014,41220,NS
2014,41250,NS
2014,41270,NS
2014,41280,NS
2014,41290,NS
2014,41310,NS
2014,41360,NS
2014,41370,NS
2014,41390,LL
2014,41410,LL
2014,41430,NS
2014,41450,NS
2014,41460,NS
2014,41480,HH
2014,41500,NS
2014,41550,NS
2014,41570,NS
2014,41590,NS
2014,41610,NS
2014,41630,NS
2014,41650,NS
2014,41670,NS
2014,41800,NS
2014,41820,HH
2014,41830,NS
2014,43110,LH
2014,43130,NS
2014,43150,NS
2014,43720,NS
2014,43730,NS
2014,43740,NS
2014,43745,NS
2014,43750,NS
2014,43760,NS
2014,43770,NS
2014,43800,NS
2014,44130,HH
2014,44150,LH
2014,44180,NS
2014,44200,NS
2014,44210,NS
2014,44230,NS
2014,44250,NS
2014,44270,NS
2014,44710,NS
2014,44760,NS
2014,44770,NS
2014,44790,NS
2014,44800,NS
2014,44810,NS
2014,44825,NS
2014,46110,NS
2014,46130,NS
2014,46150,NS
2014,46170,NS
2014,46230,NS
2014,46710,NS
2014,46720,NS
2014,46730,NS
2014,46770,NS
2014,46780,NS
2014,46790,NS
2014,46800,NS
2014,46810,NS
2014,46820,NS
2014,46830,NS
2014,46840,NS
2014,46860,NS
2014,46870,NS
2014,46880,NS
2014,46890,NS
2014,46900,NS
2014,46910,LH
2014,47110,NS
2014,47130,NS
2014,47150,NS
2014,47170,NS
2014,47190,NS
2014,47210,NS
2014,47230,NS
